"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","Verify that GET /users?page=2 returns a list of users","","Wed Nov 05 12:37:58 UTC 2025","passed","Wed Nov 05 12:37:58 UTC 2025","","UserApiTest","UserApiTest","getListOfUsersTest"
"","3174","Verify that POST /users fail with 403 on a new user creation with invalid api-key","","Wed Nov 05 12:37:55 UTC 2025","passed","Wed Nov 05 12:37:58 UTC 2025","","UserApiTest","UserApiTest","createUserWithInvalidApiKeyTest"
"","66","Verify that GET /users/2 returns correct single user details","","Wed Nov 05 12:37:58 UTC 2025","passed","Wed Nov 05 12:37:58 UTC 2025","","UserApiTest","UserApiTest","getSingleUserTest"
"","137","Verify that POST /users creates a new user","","Wed Nov 05 12:37:58 UTC 2025","passed","Wed Nov 05 12:37:58 UTC 2025","","UserApiTest","UserApiTest","createUserWithValidTokenTest"
